"target_id","comparator_id","outcome_id","analysis_id","rr","ci_95_lb","ci_95_ub","p","i_2","log_rr","se_log_rr","target_subjects","comparator_subjects","target_days","comparator_days","target_outcomes","comparator_outcomes","calibrated_p","calibrated_rr","calibrated_ci_95_lb","calibrated_ci_95_ub","calibrated_log_rr","calibrated_se_log_rr","database_id"
1772597,1772598,26662,1,1,0.677506574475429,1.47600043700574,1,NA,0,0.198644477818788,8215,8215,3718450,3584931,68,58,0.955968567792345,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,80824,1,1.13281249999999,0.893421561693219,1.43807211457384,0.30444370570733,NA,0.124703478500949,0.121430839277043,8215,8215,3670884,3545655,171,155,0.280652905693385,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,141932,1,0.97701149425287,0.790662075668976,1.20707126956684,0.82939383866721,NA,-0.0232568621642705,0.107930963174334,8215,8215,3643904,3500120,274,276,0.901811069426757,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,72737,1,1.6,0.533861859214025,5.29564238734306,0.422001209998039,NA,0.470003629245735,0.585343014847105,8215,8215,3742482,3607990,8,7,0.412686617569491,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,197006,1,1.75000000000001,1.0207105058074,3.08445420932443,0.0472965741566997,NA,0.559615787935427,0.282116348500729,8215,8215,3730185,3596991,47,36,0.0445794624270432,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,192450,1,1.69999999999999,1.15651973651114,2.53213843345294,0.0079477576574476,NA,0.530628251062165,0.19991410920288,8215,8215,3707176,3590514,96,71,0.00741672440852368,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,30234,1,1,0.660438784714996,1.5141448732929,1,NA,0,0.211662480946927,8215,8215,3724713,3583840,58,61,0.958628366729639,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,436070,1,0.995594713656462,0.908211806139376,1.09137871863961,0.924949496287201,NA,-0.0044150182090422,0.0468680646174948,8215,8215,3268491,3185878,1289,1237,0.866027554450139,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,133729,1,1.0983606557377,0.776492022769265,1.5565807662709,0.596940960168822,NA,0.093818755217654,0.177416655222236,8215,8215,3708859,3587015,95,77,0.563846523198397,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,30753,1,1.10526315789471,0.916766505380237,1.33331625610749,0.294923112352825,NA,0.100083458556962,0.0955557692297212,8215,8215,3621720,3510367,322,304,0.269913379341588,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,195562,1,0.927272727272708,0.766038146826043,1.12194149620855,0.437942424312139,NA,-0.0755075525081654,0.0973446391826162,8215,8215,3613258,3489600,336,334,0.516339864918589,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,136057,1,0.862068965517243,0.658916228031163,1.12586313858533,0.277465844600591,NA,-0.148420005118272,0.136662931665489,8215,8215,3683610,3546196,167,177,0.320144902814746,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,137351,1,0.784313725490199,0.515889140150249,1.18416857035754,0.251737782980753,NA,-0.242946178610386,0.211969272840615,8215,8215,3714897,3584103,60,65,0.275584383589324,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,201254,1,1.21311475409838,0.955421295436806,1.54385888323731,0.114550035886208,NA,0.193191229030871,0.122422642218892,8215,8215,3671225,3546969,188,150,0.105848935280347,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,31317,1,0.821100917431175,0.67343479826245,1.00034642276455,0.0508700549893808,NA,-0.197109256948356,0.100948401096713,8215,8215,3642803,3512878,284,298,0.0724321671482556,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,195603,1,1,0.410379409976278,2.43676942772984,1,NA,0,0.454433430426676,8215,8215,3740313,3600674,16,23,0.980507664296454,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,136184,1,0.79838709677419,0.612010221077616,1.03879965552426,0.0952687091724192,NA,-0.225161715470451,0.134969869056884,8215,8215,3693025,3541751,169,195,0.117714432728766,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,197610,1,0.888888888888891,0.549653413564654,1.43107066245619,0.629449702142312,NA,-0.117783035656381,0.244109137519869,8215,8215,3728969,3591933,51,47,0.660874648634257,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,72715,1,1.35416666666665,0.934829852807121,1.97501969929648,0.112076882121572,NA,0.303186258987737,0.190811953788675,8215,8215,3712424,3587915,104,78,0.104695537275427,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,376065,1,0.950672645739898,0.787496471703179,1.1473083858539,0.598242545959837,NA,-0.0505854967881188,0.0960005022136862,8215,8215,3649362,3512832,304,311,0.68397378560742,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,201418,1,1.1764705882353,0.61631741907007,2.27151362177162,0.625280540101387,NA,0.162518929497777,0.332771308751973,8215,8215,3733352,3599551,29,23,0.605372032961176,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,376382,1,0.666666666666665,0.392982909050796,1.11062938685385,0.126051875753435,NA,-0.405465108108167,0.265034468615048,8215,8215,3728474,3596057,41,50,0.1376834520915,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772598,77139,1,2,0.77657884624564,5.74416951074588,0.174515799857346,NA,0.693147180559946,0.510479391204491,8215,8215,3737299,3605277,16,6,0.169056341087939,NA,NA,NA,NA,NA,"Open Claims"
